England_SE_and_Central_S Rainfall (mm)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 05/11/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1979   75.6   60.6  114.5   60.8  105.6   43.4   34.2   67.2   20.1   62.0   59.4  131.6   295.5  280.8  144.7  141.5   834.7
1980   53.4   61.8   85.1   19.8   26.2  103.9   76.3   65.1   56.4  109.4   50.7   48.2   246.7  131.0  245.3  216.5   756.2
1981   33.9   28.1  133.9   41.0   92.0   42.8   48.1   32.2  134.1   97.8   43.0   95.9   110.2  267.0  123.2  274.9   822.8
1982   47.5   39.2   81.0   19.4   45.8   84.1   31.9   56.5   65.7  152.4  109.5   93.1   182.5  146.2  172.5  327.6   826.1
1983   71.4   34.6   44.3  101.1   97.4   39.1   28.8   22.1   68.3   60.0   43.9   83.7   199.1  242.8   90.0  172.3   694.9
1984  132.7   39.1   73.6    4.5   81.6   28.5   29.9   31.4   78.8   97.8  115.4   92.7   255.5  159.7   89.8  292.0   806.0
1985   66.8   33.8   56.2   45.5   56.1   87.7   52.2  102.5   18.6   29.5   58.0  120.0   193.3  157.8  242.3  106.1   726.8
1986  120.7   15.5   64.8   66.0   64.1   21.5   43.6   92.5   35.4   84.8  116.2   97.5   256.1  194.9  157.5  236.4   822.5
1987   20.0   43.1   71.6   55.7   42.9   85.1   74.9   45.8   42.4  186.5   72.4   33.0   160.6  170.2  205.8  301.3   773.4
1988  158.2   49.9   78.3   37.3   42.6   27.1   87.2   53.1   45.7   81.7   30.4   17.7   241.2  158.2  167.3  157.8   709.2
1989   32.9   69.4   75.2   78.3   12.1   39.5   29.3   35.8   33.6   76.3   45.7  145.5   120.1  165.6  104.6  155.6   673.7
1990  113.3  134.6    8.3   42.9    9.5   55.7   15.1   34.0   36.6   85.9   50.2   68.0   393.4   60.6  104.8  172.7   654.0
1991   95.2   38.9   56.9   59.7   14.6  112.3   82.8   16.3   51.6   48.8   73.7   21.2   202.1  131.1  211.4  174.0   671.8
1992   20.8   31.1   56.0   76.4   34.1   34.8   73.2  107.9   78.1   76.2  135.2   72.7    73.1  166.5  215.9  289.5   796.6
1993   92.7    7.5   30.0   85.8   58.9   53.7   58.0   34.2  112.6  125.0   54.1  135.1   172.9  174.7  145.9  291.7   847.6
1994  114.7   64.1   56.8   66.7   84.6   32.5   25.6   61.7   84.5  105.5   62.7  113.7   313.9  208.1  119.9  252.7   873.1
1995  156.0  100.1   54.3   19.4   29.4   17.7   31.9    4.9  129.1   35.8   70.6   95.5   369.7  103.1   54.6  235.6   744.9
1996   61.3   66.8   42.1   30.0   45.5   16.9   34.3   73.0   28.5   55.0  132.5   27.8   223.6  117.7  124.2  215.9   613.7
1997   15.7   89.0   16.7   11.9   48.1  111.7   28.1   92.2   11.5   74.5  125.4   96.4   132.5   76.6  232.0  211.4   721.0
1998  105.3    9.4   67.6  104.8   25.9  101.7   35.0   20.7  105.3  140.2   61.7   85.5   211.1  198.3  157.4  307.2   863.1
1999  113.6   31.7   36.9   56.8   35.9   74.2   14.4  105.3  124.0   67.4   41.9  132.9   230.8  129.6  193.9  233.2   834.9
2000   27.0   80.1   22.2  145.3   99.1   20.3   56.1   46.0  107.1  196.9  170.4  133.8   240.0  266.6  122.4  474.4  1104.3
2001   99.3   99.6  121.7   78.6   32.2   23.4   55.3   79.7   71.8  132.8   40.7   25.8   332.7  232.5  158.4  245.2   860.8
2002   85.4  101.7   46.5   43.3   92.2   59.0   73.4   47.3   40.3   92.6  183.5  140.0   212.9  181.9  179.7  316.4  1005.1
2003   86.8   32.4   25.1   36.1   45.4   46.8   58.3   18.1   12.3   51.0  144.3   85.3   259.1  106.6  123.2  207.6   641.8
2004  104.1   32.5   43.6   76.8   51.8   33.3   53.3  102.7   35.1  129.6   34.8   59.3   221.9  172.2  189.3  199.5   756.9
2005   39.3   24.9   51.4   50.2   33.1   34.5   61.6   55.1   40.4   98.0   54.3   69.3   123.4  134.6  151.3  192.7   612.0
2006   23.4   57.7   58.6   39.0   96.0   21.0   39.5   62.1   70.6  118.0   96.7  105.9   150.4  193.5  122.5  285.4   788.4
2007   79.7  103.6   55.6    2.5  103.8  102.4  120.1   53.5   30.6   45.7   81.1   66.5   289.3  161.9  276.0  157.4   845.2
2008  108.3   26.5   92.6   62.4   86.5   43.6   76.3   75.1   72.1   65.5   97.9   44.4   201.2  241.4  195.0  235.5   851.1
2009   89.9   67.2   38.4   40.4   36.1   33.6   84.4   36.2   27.7   65.6  189.2  113.1   201.5  114.9  154.2  282.5   821.7
2010   72.8   98.4   59.0   22.6   30.2   32.9   26.1  100.1   50.9   78.4   76.3   42.2   284.3  111.8  159.1  205.5   689.9
2011   99.5   58.7   15.9    3.7   27.0   82.3   49.1   78.0   40.3   36.1   45.4   93.8   200.4   46.6  209.5  121.8   629.8
2012   48.6   19.2   26.7  133.4   42.5  137.9  103.6   55.9   67.0  125.2  101.7  142.4   161.6  202.5  297.3  293.9  1004.0
2013   81.4   38.1   70.3   41.8   56.2   22.8   31.9   38.9   52.6  138.7   71.8  161.4   261.9  168.2   93.6  263.0   805.7
2014  205.2  147.7   37.9   75.1   74.1   37.8   46.2  102.0   14.8  111.4  135.6   53.9   514.3  187.0  186.0  261.9  1041.7
2015   96.6   58.9   23.5   18.6   62.9   26.7   60.0  108.6   67.9   58.1   78.0   80.4   209.3  105.0  195.2  204.0   740.1
2016  131.8   54.2   80.2   51.2   64.1   91.3   17.4   38.8   50.9   29.8  100.6   17.4   266.5  195.6  147.6  181.3   728.0
2017   81.5   50.1   41.7    8.5   68.4   53.6   95.8   71.1   70.9   29.8   48.6  106.5   149.1  118.7  220.5  149.3   726.6
2018   82.0   40.9  102.5   80.7   56.4    3.0   30.9   68.2   40.1   55.2  114.6  101.8   229.4  239.6  102.2  209.9   776.3
2019   33.8   56.3   65.8   28.4   33.0   92.3   42.7   50.5   83.3  121.1                 191.9  127.2  185.5
